network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_header-length_avg,network_header-length_max,network_header-length_min,network_header-length_std_deviation,network_fragmented-packets,network_fragmentation-score,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_packet-size_avg,network_packet-size_max,network_packet-size_min,network_packet-size_std_deviation,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_min,network_ip-flags_std_deviation,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-psh_count,network_tcp-flags-rst_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,network_mss_avg,network_mss_max,network_mss_min,network_mss_std_deviation,network_payload-length_avg,network_payload-length_max,network_payload-length_min,network_payload-length_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ips_src_count,network_ips_dst_count,network_ips_all_count,network_macs_src_count,network_macs_dst_count,network_macs_all_count,network_ports_src_count,network_ports_dst_count,network_ports_all_count,network_protocols_src_count,network_protocols_dst_count,network_protocols_all_count,network_packets_all_count,network_packets_src_count,network_packets_dst_count,network_interval-packets,log_messages_count,log_data-ranges_avg,log_data-ranges_max,log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count,timeDurationInSeconds,label,label2
61,61,61,0,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452283,0.155183494,0,0.006590102,1,1,2,0,0,0,1010,1,1011,1,1,1,1010,1010,1010,2211.006810610335,1010,0,0,0,0,0,10,attack_dos,attack
62.49927780452576,64,61,1.5003610542837222,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001220544,0.60764886,0,0.018533732,2,2,2,0,0,0,0,0,0,1,1,1,2077,1039,1039,819.3065521336364,2077,0,0,0,0,0,10,attack_dos,attack
62.49994846600474,64,61,1.5000257667763204,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352692,0.319719779,0,0.006999042,2,2,2,0,0,0,0,0,0,1,1,1,29107,14554,14554,2835.3361567721786,29107,0,0,0,0,0,10,attack_dos,attack
62.499858316803625,64,61,1.5000708399254217,20,20,20,0,0,0,40,40,40,0,40,40,40,0,31.99697742514405,64,0,32.00151125174233,10.999149900821765,20,2,9.000425039552528,5293,0,0,5293,5294,0,256.02418059884764,512,0,256.01209001393863,0,0,0,0,0,0,0,0,0.000490581,0.49837878,-0.002755957,0.011457806,2,2,2,0,0,0,1020,1020,1020,1,1,1,10587,5294,5294,2038.3996124914584,10587,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000460030975529,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00098139941446,11,20,2,9.000276018585316,8152,0,0,8152,8152,0,256,512,0,256.00785119531565,0,0,0,0,0,0,0,0,0.000309104,0.215632906,-0.001537134,0.007067621,2,2,2,0,0,0,1020,1020,1020,1,1,1,16304,8152,8152,3235.1609324789115,16304,0,0,0,0,0,10,attack_dos,attack
62.49867119444855,64,43,1.5093281034441923,20,20,20,0,0,0,28.007086962941088,76,28,0.5832230334927031,28.007086962941088,76,28,0.5832230334927031,0.009449284,64,0,0.7776307113236042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525152,2.191759024,0,0.025086226,3,3,3,0,0,0,2,2,2,2,2,2,13546,6773,6773,1904.211617,13546,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000473268232777,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000354531,1.086980406,0,0.016429435,2,2,2,0,0,0,0,0,0,1,1,1,15848,7924,7924,2820.630690589199,15848,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500076101570278,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318865,0.823519949,0,0.012048768,2,2,2,0,0,0,0,0,0,1,1,1,9856,4928,4928,3136.122828352469,9856,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000797426969543,20,20,20,0,0,0,30.589836274718262,40,28,4.936939803660984,30.589836274718262,40,28,4.936939803660984,6.905495907303072,64,0,19.85718461322027,2.373764218135431,20,0,6.161186709391437,1015,0,0,1015,1015,0,55.243967258424576,512,0,158.85747690576216,0,0,0,0,0,0,0,0,0.001030437,6.178578693,-0.00010759,0.065156142,2,2,2,0,0,0,1016,1016,1016,3,3,3,9407,4703,4703,970.4615801,9407,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500046184398921,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00098526717698,11,20,2,9.000277106393526,8120,0,0,8120,8120,0,256,512,0,256.00788213741583,0,0,0,0,0,0,0,0,0.000357079,1.086595712,-0.004692623,0.01675357,2,2,2,0,0,0,1016,1016,1016,1,1,1,16240,8120,8120,2800.4980282360007,16240,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500036881769347,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00078681,11,20,2,9.000221290616082,10168,0,0,10168,10168,0,256,512,0,256.0062944886352,0,0,0,0,0,0,0,0,0.000335417,0.882590516,-0.003143187,0.014344845,2,2,2,0,0,0,1018,1018,1018,1,1,1,20336,10168,10168,2981.366188072559,20336,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000472910131428,20,20,20,0,0,0,28.002774274905423,60,28,0.2713693700637103,28.002774274905423,60,28,0.2713693700637103,0.0080696,64,0,0.718624977,0.001386963,20,0,0.1595912214812868,1,0,0,1,1,0,4.049930651872399,64240,0,510.0662163643884,0.092043878,1460,0,11.592414008281557,0,0,0,0,0.000431481,1.279623004,0,0.017533102,3,3,3,0,0,0,2,2,2,3,3,3,15862,7930,7930,2317.600648272788,15862,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000307638668162,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039237,0.524450949,0,0.00988653,2,2,2,0,0,0,0,0,0,1,1,1,24380,12190,12190,2548.6143637913337,24380,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.5,20,20,20,0,0,0,41.333333333333336,44,40,2,41.333333333333336,44,40,2,42.66666666666666,64,0,32,8,18,2,7.549834435,3,0,0,3,6,0,21584,64240,0,31992.76818282532,486.6666666666667,1460,0,729.9999999999999,0,0,0,0,0.022449722,0.098737212,0,0.043159892,2,2,2,0,0,0,4,4,4,1,1,1,9,6,6,44.54396193753252,9,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416869364829546,20,20,20,0,0,0,41.333333333333336,44,40,1.8891591531060616,41.333333333333336,44,40,1.8891591531060616,42.34944237918216,64,0,30.336615998002923,7.940520446096654,18,0,7.138044050190047,89,0,0,89,178,0,21423.52416356877,64240,0,30163.998875988666,483.0483271375465,1460,0,688.2410534513131,0,0,0,0,0.03277907,0.100158231,0,0.045868212,2,2,2,0,0,0,90,90,90,2,2,2,269,178,178,30.50727137772993,269,0,0,0,0,0,10,attack_dos,attack
,,,,,,,,0,0,,,,,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.538967528127731,20,20,20,0,0,0,40,40,40,0,40,40,40,0,29.09090909090909,64,0,32.61742025200803,10,20,0,9.360504666899516,10,0,0,10,10,0,232.72727272727272,512,0,260.93936201606425,0,0,0,0,0,0,0,0,0.2338632557727272,1.325998767,-9.30E-08,0.4215249589164599,2,2,2,0,0,0,3,3,3,2,2,2,22,10,10,4.276003063811157,22,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5566235649883124,20,20,20,0,0,0,41.42857142857143,60,40,5.345224838248488,41.42857142857143,60,40,5.345224838248488,36.57142857142857,64,0,32.86736582483811,11,20,2,9.339741389929875,7,0,0,7,7,0,4808,64240,0,17107.610470197174,104.28571428571428,1460,0,390.2014131921397,0,0,0,0,0.3452450974285715,3.494871485,0,0.938044959,3,3,3,0,0,0,5,5,5,1,1,1,14,7,7,2.896492906,14,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.4166004224045523,20,20,20,0,0,0,41.333333333333336,44,40,1.888800563,41.333333333333336,44,40,1.888800563,42.66666666666666,64,0,30.22080901129712,8,18,2,7.130065766725987,99,0,0,99,198,0,21584,64240,0,30213.97928112085,486.6666666666667,1460,0,689.4122055702155,0,0,0,0,0.033059916,0.099450305,0,0.046131387,2,2,2,0,0,0,100,100,100,1,1,1,297,198,198,30.248110264494496,297,0,0,0,0,0,10,attack_dos,attack
62.449309852451215,64,61,1.4995001547001383,20,20,20,0,0,0,29.35173726796764,44,28,4.069928404598545,29.35173726796764,44,28,4.069928404598545,4.323501427212179,64,0,16.066556284919766,0.8106565176022835,18,0,3.3117161304531124,71,0,0,71,142,0,2187.151284490961,64240,0,11605.21124892892,49.31493815413892,1460,0,263.8199354832253,0,0,0,0,0.004642357,2.103115265,0,0.050340292,2,2,2,0,0,0,72,72,72,3,3,3,2102,1086,1086,215.40779680796547,2102,0,0,0,0,0,10,attack_dos,attack
62.49994431864583,64,61,1.5000278404187224,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360076,0.156736852,0,0.004756701,2,2,2,0,0,0,0,0,0,1,1,1,26939,13470,13470,2777.190747,26939,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500045390586003,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593494,3.936319759,0,0.030864716,2,2,2,0,0,0,0,0,0,2,2,2,16525,8262,8262,1684.937189294242,16525,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500026310942723,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00056130011143,11,20,2,9.000157866,14253,0,0,14253,14253,0,256,512,0,256.0044904008914,0,0,0,0,0,0,0,0,0.000307509,0.673173585,-0.001499841,0.012032815,2,2,2,0,0,0,1020,1020,1020,1,1,1,28506,14253,14253,3251.934886032933,28506,0,0,0,0,0,10,attack_dos,attack
62.49992373786161,64,61,1.5000381305845478,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319134,0.728870965,0,0.013019268,2,2,2,0,0,0,0,0,0,1,1,1,19669,9835,9835,3133.4806771054027,19669,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000372444102403,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332934,0.603565808,0,0.013263599,2,2,2,0,0,0,0,0,0,1,1,1,20138,10069,10069,3003.600554087032,20138,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000386493345936,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00082452,11,20,2,9.000231896007563,9703,0,0,9703,9703,0,256,512,0,256.0065962,0,0,0,0,0,0,0,0,0.000348085,0.538263529,-0.001426164,0.008631152,2,2,2,0,0,0,1020,1020,1020,1,1,1,19406,9703,9703,2872.861556089717,19406,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000427612355232,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329186,0.953667322,0,0.014826114,2,2,2,0,0,0,0,0,0,1,1,1,17540,8770,8770,3037.7992698026333,17540,0,0,0,0,0,10,attack_dos,attack
62.49917355371901,64,61,1.500206426565856,20,20,20,0,0,0,28.022038567493112,44,28,0.5471026202654139,28.022038567493112,44,28,0.5471026202654139,0.070523416,64,0,2.123621301117984,0.01322314,18,0,0.4352114518096021,2,0,0,2,4,0,35.67603305785124,64240,0,1507.715008,0.8044077134986226,1460,0,34.265312440868215,0,0,0,0,0.002592007,8.594993293,0,0.1430785610281326,2,2,2,0,0,0,3,3,3,2,2,2,3630,1816,1816,385.80139928524494,3630,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416530048057287,20,20,20,0,0,0,41.333333333333336,44,40,1.8887067307430496,41.333333333333336,44,40,1.8887067307430496,42.527687296416936,64,0,30.268003050849103,7.973941368078176,18,0,7.132680822947377,102,0,0,102,204,0,21513.69381107492,64240,0,30188.215373692197,485.0814332247557,1460,0,688.8108369965968,0,0,0,0,0.03296843,0.099702291,0,0.04591648,2,2,2,0,0,0,103,103,103,2,2,2,307,204,204,30.33204844209116,307,0,0,0,0,0,10,attack_dos,attack
62.4996535,104,61,1.596380811135093,20,20,20,0,0,0,40.03326403326403,76,40,0.7659371584246139,40.03326403326403,76,40,0.7659371584246139,32.12196812196812,64,0,32.00253990104848,10.94941094941095,20,0,8.985994107789109,2870,0,0,2870,2900,0,544.3049203049203,64240,0,4292.614569853639,6.576576576576577,1460,0,97.77630975757847,0,0,0,0,0.00170567,3.122765159,-0.000192191,0.048295996,4,4,4,0,0,0,992,992,992,2,2,2,5772,2899,2901,586.2799288787983,5772,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000246424787065,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00052571,11,20,2,9.000147854872239,15218,0,0,15218,15218,0,256,512,0,256.0042056496992,0,0,0,0,0,0,0,0,0.000316719,0.299458623,-0.00205127,0.005934389,2,2,2,0,0,0,1019,1019,1019,1,1,1,30436,15218,15218,3157.3692169834026,30436,0,0,0,0,0,10,attack_dos,attack
62.49990653623279,64,61,1.5000467311556729,20,20,20,0,0,0,40,40,40,0,40,40,40,0,31.998006106299457,64,0,32.00099693132102,10.999439217396722,20,2,9.000280386934037,8024,0,0,8024,8025,0,256.01595114960435,512,0,256.0079754505681,0,0,0,0,0,0,0,0,0.000628719,4.948017217,-0.000237408,0.039467886,2,2,2,0,0,0,1906,1905,1906,1,1,1,16049,8025,8025,1590.5363062870458,16049,0,0,0,0,0,10,attack_dos,attack
62.49969131568116,64,61,1.5000256925924156,20,20,20,0,0,0,40,40,40,0,40,40,40,0,31.993414734531484,64,0,32.00054811,10.99814789408698,20,2,9.000154155554496,14575,0,0,14575,14581,0,256.0526821237481,512,0,256.0043848691056,0,0,0,0,0,0,0,0,0.000335626,0.405384406,-0.002439818,0.009713828,2,2,2,0,0,0,1020,1020,1020,1,1,1,29156,14581,14581,2979.505476138191,29156,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500036737242998,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00078372785062,11,20,2,9.000220423457987,10208,0,0,10208,10208,0,256,512,0,256.00626982280494,0,0,0,0,0,0,0,0,0.000302941,0.423695423,-0.001138895,0.008280707,2,2,2,0,0,0,1022,1022,1022,1,1,1,20416,10208,10208,3300.977968952942,20416,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000370237816147,20,20,20,0,0,0,40.00098726429065,60,40,0.1405179198999621,40.00098726429065,60,40,0.1405179198999621,31.99684137794887,64,0,32.00078952885036,10.997828447339849,20,0,9.000660534501671,10129,0,0,10129,10129,0,259.0946599545948,64240,0,517.2882591030688,0.072056066,1460,0,10.256795585876478,0,0,0,0,0.000406665,0.777139036,-0.000313622,0.014733316,3,3,3,0,0,0,1017,1017,1017,2,2,2,20262,10129,10129,2459.028108039384,20262,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000334504097717,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00071361,11,20,2,9.000200702,11211,0,0,11211,11211,0,256,512,0,256.0057088699344,0,0,0,0,0,0,0,0,0.000338223,0.564107591,-0.002343021,0.010737446,2,2,2,0,0,0,1020,1020,1020,1,1,1,22422,11211,11211,2956.626998928795,22422,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000338703668203,20,20,20,0,0,0,40.00162572254335,76,40,0.2419214987567117,40.00162572254335,76,40,0.2419214987567117,32,64,0,32.000722567825505,10.999096820809248,20,0,9.000303531831847,11071,0,0,11071,11072,0,256,512,0,256.00578054260404,0,0,0,0,0,0,0,0,0.000358357,1.404458398,-0.000501061,0.016582528,2,3,3,0,0,0,1022,1022,1023,2,2,2,22144,11072,11072,2790.510499070793,22144,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000408513419743,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00087149529545,11,20,2,9.000245108051844,9180,0,0,9180,9180,0,256,512,0,256.0069719623636,0,0,0,0,0,0,0,0,0.000294879,0.748530077,-0.004159545,0.013196696,2,2,2,0,0,0,1021,1021,1021,1,1,1,18360,9180,9180,3391.224683974925,18360,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5000385737981112,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336022,1.036944301,0,0.015143567,2,2,2,0,0,0,0,0,0,1,1,1,19444,9722,9722,2975.9983313341672,19444,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416576493949657,20,20,20,0,0,0,41.333333333333336,44,40,1.8887686585995425,41.333333333333336,44,40,1.8887686585995425,42.66666666666666,64,0,30.22029853759268,8,18,2,7.129945329477485,100,0,0,100,200,0,21584,64240,0,30213.46892278055,486.6666666666667,1460,0,689.4005604,0,0,0,0,0.033061933,0.099522023,0,0.046108311,2,2,2,0,0,0,101,101,101,1,1,1,300,200,200,30.246264921923565,300,0,0,0,0,0,10,attack_dos,attack
78.5,123,62,26.543046798235757,20,20,20,0,0,0,191.375,428,40,149.99194422812624,191.375,428,40,149.99194422812624,56,64,0,21.86016163404714,16,24,0,10.119288512538814,12,0,8,0,0,0,313.75,501,0,214.3251424044008,0,0,0,0,128,388,0,164.67827219561582,0.512001773,4.0791986,0,1.3258761153122238,3,3,3,0,0,0,6,7,7,3,3,3,16,10,8,1.9531182565748164,16,0,0,0,0,0,10,attack_malware,attack
83.38095238095238,123,62,28.71493721127767,20,20,20,0,0,0,141.85714285714286,428,40,111.4240933166098,141.85714285714286,428,40,111.4240933166098,54.85714285714285,64,0,22.948389299220352,14.476190476190476,24,0,9.998095057,15,0,8,0,0,0,275.1428571428572,501,0,208.06255927347567,0,0,0,0,73.52380952380952,388,0,121.17079641878196,0.2117893797142857,2.039389743,0,0.6080189184164406,3,3,3,0,0,0,7,7,7,3,3,3,21,11,10,4.721671794743689,21,0,0,0,0,0,10,attack_malware,attack
74.36363636363636,123,62,24.05939619887717,20,20,20,0,0,0,157.63636363636363,428,40,103.85208012098045,157.63636363636363,428,40,103.85208012098045,44.30769230769231,64,0,30.744605530576727,11.692307692307692,24,0,11.600176833311748,7,0,5,0,0,0,231.6153846153846,501,0,239.03226367359505,0,0,0,0,69.23076923076923,388,0,115.09282764081772,0.5533751903846155,3.781855857,0,1.144923334101986,3,3,3,0,0,0,5,6,6,4,4,4,13,7,5,1.8070921619139564,13,0,0,0,0,0,10,attack_malware,attack
