network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_header-length_avg,network_header-length_max,network_header-length_min,network_header-length_std_deviation,network_fragmented-packets,network_fragmentation-score,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_packet-size_avg,network_packet-size_max,network_packet-size_min,network_packet-size_std_deviation,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_min,network_ip-flags_std_deviation,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-psh_count,network_tcp-flags-rst_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,network_mss_avg,network_mss_max,network_mss_min,network_mss_std_deviation,network_payload-length_avg,network_payload-length_max,network_payload-length_min,network_payload-length_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ips_src_count,network_ips_dst_count,network_ips_all_count,network_macs_src_count,network_macs_dst_count,network_macs_all_count,network_ports_src_count,network_ports_dst_count,network_ports_all_count,network_protocols_src_count,network_protocols_dst_count,network_protocols_all_count,network_packets_all_count,network_packets_src_count,network_packets_dst_count,network_interval-packets,log_messages_count,log_data-ranges_avg,log_data-ranges_max,log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count,timeDurationInSeconds,label,label2
62.5,64,61,1.500091785,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00195808,11,20,2,9.000550711,4086,0,0,4086,4086,0,256,512,0,256.0156647,0,0,0,0,0,0,0,0,0.00095956,0.669357643,-0.000299841,0.019865771,2,2,2,0,0,0,1019,1019,1019,1,1,1,8172,4086,4086,1042.144215,8172,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500030676,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00065442,11,20,2,9.000184055,12225,0,0,12225,12225,0,256,512,0,256.0052353,0,0,0,0,0,0,0,0,0.000339971,0.405310385,-0.000370134,0.007743207,2,2,2,0,0,0,1020,1020,1020,1,1,1,24450,12225,12225,2941.431338,24450,0,0,0,0,0,10,attack_dos,attack
62.49054489,64,1,1.667268996,20.0005603,24,20,0.047341422,0,0,40.00168091,44,36,0.105852706,40.00168091,44,36,0.105852706,32.01344726,64,0,32.00223862,10.99341644,20,0,8.998946816,3567,0,0,3567,3571,0,291.8145399,64240,0,1535.707946,0.818041743,1460,0,34.55197505,0,0,0,0,0.001391123,5.074521393,-0.000250864,0.065988446,3,3,4,0,0,0,1025,1025,1025,2,2,2,7139,3571,3571,718.8437924,7139,0,0,0,0,0,10,attack_dos,attack
61,61,61,0,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452283,0.155183494,0,0.006590102,1,1,2,0,0,0,1010,1,1011,1,1,1,1010,1010,1010,2211.006811,1010,0,0,0,0,0,10,attack_dos,attack
62.4992778,64,61,1.500361054,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001220544,0.60764886,0,0.018533732,2,2,2,0,0,0,0,0,0,1,1,1,2077,1039,1039,819.3065521,2077,0,0,0,0,0,10,attack_dos,attack
62.49994847,64,61,1.500025767,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352692,0.319719779,0,0.006999042,2,2,2,0,0,0,0,0,0,1,1,1,29107,14554,14554,2835.336157,29107,0,0,0,0,0,10,attack_dos,attack
62.49985832,64,61,1.50007084,20,20,20,0,0,0,40,40,40,0,40,40,40,0,31.99697743,64,0,32.00151125,10.9991499,20,2,9.00042504,5293,0,0,5293,5294,0,256.0241806,512,0,256.01209,0,0,0,0,0,0,0,0,0.000490581,0.49837878,-0.002755957,0.011457806,2,2,2,0,0,0,1020,1020,1020,1,1,1,10587,5294,5294,2038.399612,10587,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500046003,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.0009814,11,20,2,9.000276019,8152,0,0,8152,8152,0,256,512,0,256.0078512,0,0,0,0,0,0,0,0,0.000309104,0.215632906,-0.001537134,0.007067621,2,2,2,0,0,0,1020,1020,1020,1,1,1,16304,8152,8152,3235.160932,16304,0,0,0,0,0,10,attack_dos,attack
62.49867119,64,43,1.509328103,20,20,20,0,0,0,28.00708696,76,28,0.583223033,28.00708696,76,28,0.583223033,0.009449284,64,0,0.777630711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525152,2.191759024,0,0.025086226,3,3,3,0,0,0,2,2,2,2,2,2,13546,6773,6773,1904.211617,13546,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500047327,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000354531,1.086980406,0,0.016429435,2,2,2,0,0,0,0,0,0,1,1,1,15848,7924,7924,2820.630691,15848,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500076102,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318865,0.823519949,0,0.012048768,2,2,2,0,0,0,0,0,0,1,1,1,9856,4928,4928,3136.122828,9856,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500079743,20,20,20,0,0,0,30.58983627,40,28,4.936939804,30.58983627,40,28,4.936939804,6.905495907,64,0,19.85718461,2.373764218,20,0,6.161186709,1015,0,0,1015,1015,0,55.24396726,512,0,158.8574769,0,0,0,0,0,0,0,0,0.001030437,6.178578693,-0.00010759,0.065156142,2,2,2,0,0,0,1016,1016,1016,3,3,3,9407,4703,4703,970.4615801,9407,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500046184,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00098527,11,20,2,9.000277106,8120,0,0,8120,8120,0,256,512,0,256.0078821,0,0,0,0,0,0,0,0,0.000357079,1.086595712,-0.004692623,0.01675357,2,2,2,0,0,0,1016,1016,1016,1,1,1,16240,8120,8120,2800.498028,16240,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500036882,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00078681,11,20,2,9.000221291,10168,0,0,10168,10168,0,256,512,0,256.0062945,0,0,0,0,0,0,0,0,0.000335417,0.882590516,-0.003143187,0.014344845,2,2,2,0,0,0,1018,1018,1018,1,1,1,20336,10168,10168,2981.366188,20336,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500047291,20,20,20,0,0,0,28.00277427,60,28,0.27136937,28.00277427,60,28,0.27136937,0.0080696,64,0,0.718624977,0.001386963,20,0,0.159591221,1,0,0,1,1,0,4.049930652,64240,0,510.0662164,0.092043878,1460,0,11.59241401,0,0,0,0,0.000431481,1.279623004,0,0.017533102,3,3,3,0,0,0,2,2,2,3,3,3,15862,7930,7930,2317.600648,15862,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500030764,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039237,0.524450949,0,0.00988653,2,2,2,0,0,0,0,0,0,1,1,1,24380,12190,12190,2548.614364,24380,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.5,20,20,20,0,0,0,41.33333333,44,40,2,41.33333333,44,40,2,42.66666667,64,0,32,8,18,2,7.549834435,3,0,0,3,6,0,21584,64240,0,31992.76818,486.6666667,1460,0,730,0,0,0,0,0.022449722,0.098737212,0,0.043159892,2,2,2,0,0,0,4,4,4,1,1,1,9,6,6,44.54396194,9,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416869365,20,20,20,0,0,0,41.33333333,44,40,1.889159153,41.33333333,44,40,1.889159153,42.34944238,64,0,30.336616,7.940520446,18,0,7.13804405,89,0,0,89,178,0,21423.52416,64240,0,30163.99888,483.0483271,1460,0,688.2410535,0,0,0,0,0.03277907,0.100158231,0,0.045868212,2,2,2,0,0,0,90,90,90,2,2,2,269,178,178,30.50727138,269,0,0,0,0,0,10,attack_dos,attack
,,,,,,,,0,0,,,,,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.538967528,20,20,20,0,0,0,40,40,40,0,40,40,40,0,29.09090909,64,0,32.61742025,10,20,0,9.360504667,10,0,0,10,10,0,232.7272727,512,0,260.939362,0,0,0,0,0,0,0,0,0.233863256,1.325998767,-9.30E-08,0.421524959,2,2,2,0,0,0,3,3,3,2,2,2,22,10,10,4.276003064,22,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.556623565,20,20,20,0,0,0,41.42857143,60,40,5.345224838,41.42857143,60,40,5.345224838,36.57142857,64,0,32.86736582,11,20,2,9.33974139,7,0,0,7,7,0,4808,64240,0,17107.61047,104.2857143,1460,0,390.2014132,0,0,0,0,0.345245097,3.494871485,0,0.938044959,3,3,3,0,0,0,5,5,5,1,1,1,14,7,7,2.896492906,14,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416600422,20,20,20,0,0,0,41.33333333,44,40,1.888800563,41.33333333,44,40,1.888800563,42.66666667,64,0,30.22080901,8,18,2,7.130065767,99,0,0,99,198,0,21584,64240,0,30213.97928,486.6666667,1460,0,689.4122056,0,0,0,0,0.033059916,0.099450305,0,0.046131387,2,2,2,0,0,0,100,100,100,1,1,1,297,198,198,30.24811026,297,0,0,0,0,0,10,attack_dos,attack
62.44930985,64,61,1.499500155,20,20,20,0,0,0,29.35173727,44,28,4.069928405,29.35173727,44,28,4.069928405,4.323501427,64,0,16.06655628,0.810656518,18,0,3.31171613,71,0,0,71,142,0,2187.151284,64240,0,11605.21125,49.31493815,1460,0,263.8199355,0,0,0,0,0.004642357,2.103115265,0,0.050340292,2,2,2,0,0,0,72,72,72,3,3,3,2102,1086,1086,215.4077968,2102,0,0,0,0,0,10,attack_dos,attack
62.49994432,64,61,1.50002784,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360076,0.156736852,0,0.004756701,2,2,2,0,0,0,0,0,0,1,1,1,26939,13470,13470,2777.190747,26939,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500045391,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593494,3.936319759,0,0.030864716,2,2,2,0,0,0,0,0,0,2,2,2,16525,8262,8262,1684.937189,16525,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500026311,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.0005613,11,20,2,9.000157866,14253,0,0,14253,14253,0,256,512,0,256.0044904,0,0,0,0,0,0,0,0,0.000307509,0.673173585,-0.001499841,0.012032815,2,2,2,0,0,0,1020,1020,1020,1,1,1,28506,14253,14253,3251.934886,28506,0,0,0,0,0,10,attack_dos,attack
62.49992374,64,61,1.500038131,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319134,0.728870965,0,0.013019268,2,2,2,0,0,0,0,0,0,1,1,1,19669,9835,9835,3133.480677,19669,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500037244,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000332934,0.603565808,0,0.013263599,2,2,2,0,0,0,0,0,0,1,1,1,20138,10069,10069,3003.600554,20138,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500038649,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00082452,11,20,2,9.000231896,9703,0,0,9703,9703,0,256,512,0,256.0065962,0,0,0,0,0,0,0,0,0.000348085,0.538263529,-0.001426164,0.008631152,2,2,2,0,0,0,1020,1020,1020,1,1,1,19406,9703,9703,2872.861556,19406,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500042761,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329186,0.953667322,0,0.014826114,2,2,2,0,0,0,0,0,0,1,1,1,17540,8770,8770,3037.79927,17540,0,0,0,0,0,10,attack_dos,attack
62.49917355,64,61,1.500206427,20,20,20,0,0,0,28.02203857,44,28,0.54710262,28.02203857,44,28,0.54710262,0.070523416,64,0,2.123621301,0.01322314,18,0,0.435211452,2,0,0,2,4,0,35.67603306,64240,0,1507.715008,0.804407713,1460,0,34.26531244,0,0,0,0,0.002592007,8.594993293,0,0.143078561,2,2,2,0,0,0,3,3,3,2,2,2,3630,1816,1816,385.8013993,3630,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416530048,20,20,20,0,0,0,41.33333333,44,40,1.888706731,41.33333333,44,40,1.888706731,42.5276873,64,0,30.26800305,7.973941368,18,0,7.132680823,102,0,0,102,204,0,21513.69381,64240,0,30188.21537,485.0814332,1460,0,688.810837,0,0,0,0,0.03296843,0.099702291,0,0.04591648,2,2,2,0,0,0,103,103,103,2,2,2,307,204,204,30.33204844,307,0,0,0,0,0,10,attack_dos,attack
62.4996535,104,61,1.596380811,20,20,20,0,0,0,40.03326403,76,40,0.765937158,40.03326403,76,40,0.765937158,32.12196812,64,0,32.0025399,10.94941095,20,0,8.985994108,2870,0,0,2870,2900,0,544.3049203,64240,0,4292.61457,6.576576577,1460,0,97.77630976,0,0,0,0,0.00170567,3.122765159,-0.000192191,0.048295996,4,4,4,0,0,0,992,992,992,2,2,2,5772,2899,2901,586.2799289,5772,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500024642,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00052571,11,20,2,9.000147855,15218,0,0,15218,15218,0,256,512,0,256.0042056,0,0,0,0,0,0,0,0,0.000316719,0.299458623,-0.00205127,0.005934389,2,2,2,0,0,0,1019,1019,1019,1,1,1,30436,15218,15218,3157.369217,30436,0,0,0,0,0,10,attack_dos,attack
62.49990654,64,61,1.500046731,20,20,20,0,0,0,40,40,40,0,40,40,40,0,31.99800611,64,0,32.00099693,10.99943922,20,2,9.000280387,8024,0,0,8024,8025,0,256.0159511,512,0,256.0079755,0,0,0,0,0,0,0,0,0.000628719,4.948017217,-0.000237408,0.039467886,2,2,2,0,0,0,1906,1905,1906,1,1,1,16049,8025,8025,1590.536306,16049,0,0,0,0,0,10,attack_dos,attack
62.49969132,64,61,1.500025693,20,20,20,0,0,0,40,40,40,0,40,40,40,0,31.99341473,64,0,32.00054811,10.99814789,20,2,9.000154156,14575,0,0,14575,14581,0,256.0526821,512,0,256.0043849,0,0,0,0,0,0,0,0,0.000335626,0.405384406,-0.002439818,0.009713828,2,2,2,0,0,0,1020,1020,1020,1,1,1,29156,14581,14581,2979.505476,29156,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500036737,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00078373,11,20,2,9.000220423,10208,0,0,10208,10208,0,256,512,0,256.0062698,0,0,0,0,0,0,0,0,0.000302941,0.423695423,-0.001138895,0.008280707,2,2,2,0,0,0,1022,1022,1022,1,1,1,20416,10208,10208,3300.977969,20416,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500037024,20,20,20,0,0,0,40.00098726,60,40,0.14051792,40.00098726,60,40,0.14051792,31.99684138,64,0,32.00078953,10.99782845,20,0,9.000660535,10129,0,0,10129,10129,0,259.09466,64240,0,517.2882591,0.072056066,1460,0,10.25679559,0,0,0,0,0.000406665,0.777139036,-0.000313622,0.014733316,3,3,3,0,0,0,1017,1017,1017,2,2,2,20262,10129,10129,2459.028108,20262,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.50003345,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00071361,11,20,2,9.000200702,11211,0,0,11211,11211,0,256,512,0,256.0057089,0,0,0,0,0,0,0,0,0.000338223,0.564107591,-0.002343021,0.010737446,2,2,2,0,0,0,1020,1020,1020,1,1,1,22422,11211,11211,2956.626999,22422,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.50003387,20,20,20,0,0,0,40.00162572,76,40,0.241921499,40.00162572,76,40,0.241921499,32,64,0,32.00072257,10.99909682,20,0,9.000303532,11071,0,0,11071,11072,0,256,512,0,256.0057805,0,0,0,0,0,0,0,0,0.000358357,1.404458398,-0.000501061,0.016582528,2,3,3,0,0,0,1022,1022,1023,2,2,2,22144,11072,11072,2790.510499,22144,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500040851,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.0008715,11,20,2,9.000245108,9180,0,0,9180,9180,0,256,512,0,256.006972,0,0,0,0,0,0,0,0,0.000294879,0.748530077,-0.004159545,0.013196696,2,2,2,0,0,0,1021,1021,1021,1,1,1,18360,9180,9180,3391.224684,18360,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500038574,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336022,1.036944301,0,0.015143567,2,2,2,0,0,0,0,0,0,1,1,1,19444,9722,9722,2975.998331,19444,0,0,0,0,0,10,attack_dos,attack
62,64,61,1.416576494,20,20,20,0,0,0,41.33333333,44,40,1.888768659,41.33333333,44,40,1.888768659,42.66666667,64,0,30.22029854,8,18,2,7.129945329,100,0,0,100,200,0,21584,64240,0,30213.46892,486.6666667,1460,0,689.4005604,0,0,0,0,0.033061933,0.099522023,0,0.046108311,2,2,2,0,0,0,101,101,101,1,1,1,300,200,200,30.24626492,300,0,0,0,0,0,10,attack_dos,attack
78.5,123,62,26.5430468,20,20,20,0,0,0,191.375,428,40,149.9919442,191.375,428,40,149.9919442,56,64,0,21.86016163,16,24,0,10.11928851,12,0,8,0,0,0,313.75,501,0,214.3251424,0,0,0,0,128,388,0,164.6782722,0.512001773,4.0791986,0,1.325876115,3,3,3,0,0,0,6,7,7,3,3,3,16,10,8,1.953118257,16,0,0,0,0,0,10,attack_malware,attack
83.38095238,123,62,28.71493721,20,20,20,0,0,0,141.8571429,428,40,111.4240933,141.8571429,428,40,111.4240933,54.85714286,64,0,22.9483893,14.47619048,24,0,9.998095057,15,0,8,0,0,0,275.1428571,501,0,208.0625593,0,0,0,0,73.52380952,388,0,121.1707964,0.21178938,2.039389743,0,0.608018918,3,3,3,0,0,0,7,7,7,3,3,3,21,11,10,4.721671795,21,0,0,0,0,0,10,attack_malware,attack
74.36363636,123,62,24.0593962,20,20,20,0,0,0,157.6363636,428,40,103.8520801,157.6363636,428,40,103.8520801,44.30769231,64,0,30.74460553,11.69230769,24,0,11.60017683,7,0,5,0,0,0,231.6153846,501,0,239.0322637,0,0,0,0,69.23076923,388,0,115.0928276,0.55337519,3.781855857,0,1.144923334,3,3,3,0,0,0,5,6,6,4,4,4,13,7,5,1.807092162,13,0,0,0,0,0,10,attack_malware,attack
78.125,123,61,27.72022212,20,20,20,0,0,0,145.375,533,40,166.523218,145.375,533,40,166.523218,49.77777778,64,0,28.22134732,11.33333333,24,0,10.67707825,5,0,2,1,1,0,7305.555556,64240,0,21351.42957,162.2222222,1460,0,486.6666667,26.66666667,156,0,55.89275445,0.130491242,1.028987898,0,0.338228854,4,4,4,0,0,0,6,6,6,4,4,4,9,4,4,7.663350237,9,0,0,0,0,0,10,attack_malware,attack
79.72727273,123,62,27.80320452,20,20,20,0,0,0,156,533,40,137.5827024,156,533,40,137.5827024,52.36363636,64,0,25.88927472,13.09090909,24,0,10.89453574,7,0,4,0,0,0,251,501,0,224.0557966,0,0,0,0,45.09090909,164,0,66.62350118,0.844575738,9.081075943,0,2.731876886,3,3,3,0,0,0,5,5,5,3,3,3,11,6,5,1.184026415,11,0,0,0,0,0,10,attack_malware,attack
81.84615385,123,62,28.5652649,20,20,20,0,0,0,196.4615385,533,40,181.9760128,196.4615385,533,40,181.9760128,54.15384615,64,0,24.03416372,14.15384615,24,0,10.40709817,9,0,5,0,0,0,270.1538462,501,0,215.9767913,0,0,0,0,66.76923077,388,0,113.7879269,0.375836407,3.04017894,0,0.907748428,3,3,3,0,0,0,5,6,6,3,3,3,13,7,6,2.660732106,13,0,0,0,0,0,10,attack_malware,attack
83.33333333,123,62,30.73543015,20,20,20,0,0,0,115.5,204,40,64.13033604,115.5,204,40,64.13033604,45.71428571,64,0,31.22880233,11.42857143,24,0,11.1782101,4,0,2,0,0,0,215.8571429,501,0,225.6039513,0,0,0,0,36.57142857,164,0,65.82516526,0.450760232,3.040862654,0,1.142302515,3,3,3,0,0,0,4,4,4,4,4,4,7,3,3,2.21847434,7,0,0,0,0,0,10,attack_malware,attack
83.4,123,62,28.99211716,20,20,20,0,0,0,152.4,428,40,125.8989391,152.4,428,40,125.8989391,48.94117647,64,0,27.98318823,13.17647059,24,0,10.56074864,11,0,6,0,0,0,251,501,0,216.9412363,0,0,0,0,75.76470588,388,0,130.9157789,0.543191335,6.313488914,0,1.562365575,3,3,3,0,0,0,6,6,6,4,4,4,17,8,7,1.840971883,17,0,0,0,0,0,10,attack_malware,attack
